,name,mbrg,nprg,nav,targ,epsg,seg
1528,城地股份,55.0441,8.7188,14.1012,36.8248,-25.3731,14.1012
1529,中国汽研,14.879000000000001,8.6016,4.9934,10.342,7.6923,4.986000000000001
1530,山东出版,5.0545,8.5903,10.874,9.056000000000001,-4.0541,10.9824
1531,第一医药,-24.3859,8.5323,-6.2315,-4.9739,10.5263,-6.2932
1532,恒顺醋业,9.8665,8.4872,13.1705,10.9555,-16.588,13.035
1533,三星新材,9.2873,8.4811,8.7574,5.5186,3.0303,8.7574
1534,张家港行,,8.4119,19.3324,9.9578,6.9767,19.7998
1535,东方银星,457.5184,8.383,13.3364,6.6892,10.8108,12.9557
1536,瑞贝卡,-3.3546,8.3516,7.117000000000001,9.283,8.8947,7.1572
1537,华信新材,8.0183,8.3432,6.7012,6.0076,-47.1264,6.7012
1538,无锡银行,,8.3428,16.8629,12.5941,9.2593,17.2555
1539,电工合金,7.4702,8.3383,5.7542,5.3454,-30.5011,5.7542
1540,申能股份,11.7801,8.3365,2.525,10.3893,4.9738,1.9371
1541,如通股份,22.2658,8.2151,3.4046,5.267,5.5556,2.8838
1542,中水渔业,-16.2979,8.2046,15.2465,1.8848,5.5359,7.6248
1543,金时科技,19.8633,8.1622,14.3943,11.9667,-1.8182,14.3943
1544,柯利达,17.2109,8.1482,4.9741,12.2452,-17.6471,4.3876
1545,江山欧派,27.0501,8.1213,9.2437,26.0299,6.1798,10.3111
1546,日科化学,-25.4109,8.0794,2.0503,4.8738,4.3478,2.0503
1547,杭钢股份,-5.0476,8.0504,11.7135,5.5244,-17.3913,11.705
1548,郴电国际,8.7886,7.9894,-1.3105,0.0833,-9.0193,0.9125
1549,新疆火炬,7.8321,7.9676,6.8922,19.6927,-18.75,6.8922
1550,青岛海尔,15.1092,7.9428,17.9257,10.0595,6.5141,22.3086
1551,康弘药业,4.6994,7.8772,15.2536,13.273,7.8542,15.2536
1552,兴业股份,17.1511,7.8694,9.1476,13.1948,7.4627,9.1476
1553,张江高科,-8.3586,7.8292,3.4929,3.5669,16.6667,4.1339999999999995
1554,鸿博股份,1.5273,7.8229,-3.678,-2.0282,-51.8692,-2.0126
1555,龙蟠科技,15.4423,7.7431,17.3099,23.2081,-25.0,5.3908
1556,麦迪科技,5.805,7.7312,9.0763,14.4788,7.8125,8.8928
1557,川能动力,-34.3684,7.7014,3.0498,6.5411,-7.6923,8.0294
